1;Circuit des 24 heures du Mans
2;Nurburgring
3;Daytona
4;Indianapolis Motor Speedway
5;Autodrome Enzo e Dino Ferrari
6;Mount Panorama Circuit
7;Eldora Speedway
8;Cahrlotte Motor Speedway
9;Williams Grove Speedway
10;Circuit of America
11;Bristol Motor Speedway
12;Southern Motorsports Park
13;Circuit Spa-francorchamps
14;Talladega Superspeedway
15;Watkins Glen International
16;Road America
17;Gateway Motorsports Park
18;Autodromo Nationale Monza
19;Nurburgring GP
20;Interlagos
21;Michigan International Speedway
22;Circuit Gilles Villeneuve
23;Brands Hatch
24;Silverstone Circuit
25;South Boston Speedway
26;Pocono Raceway
27;Kansas Speedway
28;Mid-ohio sports car Course
29;Phillip Island Circuit
30;Suzukua Circuit
31;Circuit park Zandvoort
32;Canadian Tire Motorsport Park
33;Dover International Speedway
34;Sebring International Speedway
35;Twin Ring Motegi
36;Lucas Oil Raceway Indianapolis
37;Darlington Raceway
38;Iowa Speedway
39;Auto Club Speedway
40;Kentucky Speedway
41;Oran Park
42;New Smyrna Speedway
43;Donington park Circuit
44;Thompson International Speedway
45;Phoenix International Raceway
46;Texas Motor Speedway
47;Oulton Park Circuit
48;Mazda Raceway Laguna Seca
49;Rokcingham Speedway
50;Okayama International Circuit
51;Atlanta Motor Speedway
52;The Milwaukee Mile
53;Richmond International Raceway
54;Las Vegas Motor Speedway
55;Martinsville Speedway
56;New Hampshire Motor Speedway
57;Concord Speedway
58;Chicagoland Speedway
59;Stafford Motor Speedway
60;Homestead Miami Speedway
61;Oxford Plains Speedway
62;Lanier International Speedway
63;USA International Speedway
64;Irwindale Speedway
65;Sonoma Raceway
66;Road Atlanta
67;Lime Rock Park
68;Virginia International Raceway
69;Summit Point Motorsports Park
70;Barber Motorsports Park
71;Langley Speedway
72;Circuit Zolder
73;Five Flags Speedway
74;Phoenix International Raceway circa 2008
75;Daytona circa 2007
76;Centripetal Circuit
77;Long Beach
78;New Jersey Motorsports Park
